DAP,SAP,MAP
-4.517385177556065,-4.558087997380284,-6.186727005799739
-12.03108757013419,-13.508901290837315,-13.387462077824239
-13.106291820936278,-16.282343914442137,-13.00690102080037
-33.962162302545934,-35.00821332793657,-32.11336129902122
15.82551447047367,7.191961919204132,11.28855892171751
-22.28374850837112,-24.423045993722667,-23.18041661450627
10.812596182748308,5.501808981820574,10.622725451644499
-8.498171856336668,-15.75125413172728,-10.40068141404393
-6.32102884776927,-23.81796183116772,-15.290426393622482
-23.794048190988292,-27.130679965890636,-23.739520917521233
-1.0417280697155746,-11.03535752528198,-5.892959534106211
6.588331193314872,-9.30834391654841,0.11084474610838413
-24.69728498321001,-24.2935221658272,-22.63438402588565
-14.38307481043823,-21.70454697840698,-16.565558492976237
-0.6616240047741684,-8.399142315321043,-3.564232790561249
-21.79194247809768,-23.10519778815626,-22.03031940126955
-2.9881697201061996,-16.783053448133558,-9.235211603818229
-9.045008709364012,-13.3875837826062,-9.56370162184146
-10.596484234266356,-16.22680192225465,-11.959467777360189
-7.605252914372471,-9.582776718083409,-8.998081174521758
-11.53499131434448,-14.551676800184325,-10.914776169306293
-9.56183915369995,-20.60850053065309,-13.916116804453125
-30.541278720773462,-35.03152835456251,-31.06002164591014
-18.026704482975987,-21.133931808415426,-21.011001226977967
21.19947687281742,16.362044011489303,20.628693205753976
-18.39809064727251,-14.457027720026417,-14.951059489216476
-9.096476604871825,-12.168643047742933,-8.989563508437826
-13.060964613569894,-30.339059858931208,-21.048439452950106
-5.434485573843489,-18.181487221792693,-10.958350165287357
-7.862729721013096,-6.213544540349034,-8.623890167835384
-18.094782879285887,-35.08951859705934,-26.004549786385326
-8.7338972591687,-13.208682110242918,-9.680077433672096
9.653127641068778,1.5506648725140906,6.8368545766198565
-26.931789279855494,-31.67043674079298,-28.799472893704248
-6.0122509294878625,-16.456468611372614,-10.244796226948694
11.879133855239289,9.354857121840865,9.703220542941295
-16.579511337224034,-14.673131637517002,-17.003090648594878
-5.208094646864012,-18.339304974012464,-11.7921498662418
3.402200669633231,-1.5123768144976282,2.381286232750213
2.7370242780316687,-10.044511824263253,-2.0432300233856324
-15.5880232357312,-23.3201246761609,-18.555929538814837
-20.521198154367212,-20.564807773507823,-19.329166882328835
-10.109400799207762,-18.765154888563217,-12.794061664472963
-6.237338116102293,-13.816027691297606,-8.653468570897175
-30.21662509528518,-35.34135806647657,-31.42281964274744
-31.812621951974634,-36.6817206153047,-32.73412492053268
4.4010073293603895,-2.389291132553666,0.416223324032444
-23.01083743659376,-25.254024387277354,-22.90969584342176
8.590306143685808,3.865067343636966,8.318258487170453
-24.637378574289087,-26.092891574777354,-23.569942337598903
7.014067326918983,3.3446108449853966,4.2855093583300174
-23.178424716867212,-25.932124973214854,-23.034907342876608
-8.188352279606853,-14.43666618341544,-5.0651784801992505
-5.472890548649815,-7.1355950164232524,-6.817668131064323
6.677381820734944,-1.3023964690599712,9.855214963453818
2.9176311200726843,-1.682168989790597,1.5881592069370782
-10.532397320203856,-23.887698223524183,-16.374812018129703
-3.0880537533093246,-18.00284867518434,-10.16802398573347
-15.195949839167042,-13.612209604792056,-12.98314585272999
-2.545001079969481,-8.52033524744995,-4.954485399632929
-9.83625440459673,-12.995693491510792,-10.85660126243451
3.800069779740653,-0.7449283892046594,2.6887604812321797
-8.028279952946697,-13.398931198063877,-6.4943450210355
